City,District,OID,ReportYear,ReportDate,Address,ReportNumber,PropertyStatus,PropValue,Serial,Disposition,CallNumber,x,y
BOULDER,Valmont,2572,2018,2018-04-25,32XX WALNUT,1870712,STOLEN,1950.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.251169984101,40.0205189708868
BOULDER,University Hill,2573,2018,2018-04-26,13XX BROADWAY,1870710,STOLEN,2825.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.276905795417,40.0100766691169
BOULDER,South Boulder,2574,2018,2018-04-26,VALID ADDRESS UNAVAILABLE,1805001,RECOVERED,480.0,Yes,AB-Arrest,BPD180425-030393,,
BOULDER,University Hill,2575,2018,2018-04-26,15XX ARAPAHOE,1805023,STOLEN,150.0,No,CB-Clear,BPD180426-030508,-105.273922569545,40.0147735202692
BOULDER,University Hill,2576,2018,2018-04-26,11XX MARINE,1870718,STOLEN,1000.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.279026528576,40.0130350698646
BOULDER,East Boulder,2577,2018,2018-04-26,28XX PENNSYLVANIA,1870713,STOLEN,500.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.257415891107,40.0083893179741
BOULDER,Central Boulder,2578,2018,2018-04-26,10XX ARAPAHOE,1870722,STOLEN,600.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.281741760842,40.0139455569322
BOULDER,South Boulder,2579,2018,2018-04-26,27XX MOORHEAD,1870758,STOLEN,300.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.259814098738,39.9984381074948
BOULDER,Valmont,2580,2018,2018-04-26,32XX 28TH ST,1870760,STOLEN,470.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.258390794797,40.034279558527
BOULDER,Valmont,2581,2018,2018-04-26,53XX STERLING,1805076,STOLEN,13000.0,No,CB-Clear,BPD180426-030715,-105.229128174201,40.0287433832174
BOULDER,Valmont,2582,2018,2018-04-27,17XX 29TH,1870721,STOLEN,4000.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.255008911631,40.0170422286292
BOULDER,East Boulder,2583,2018,2018-04-27,5XX MOHAWK,1870720,STOLEN,500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.234795684724,39.9965732509884
BOULDER,CU Campus,2584,2018,2018-04-27,VALID ADDRESS UNAVAILABLE,1870729,STOLEN,900.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,,
